"Genome"	"Total_ARGs"	"blaZ"	"mecA"	"mecC"	"Category"	"Total_Transporters"	"Max_Bitscore"	"Min_Bitscore"	"Mean_Bitscore"	"Median_Bitscore"	"Max_E_Value"	"Min_E_Value"	"Mean_E_Value"	"Median_E_Value"	"Max_Identity"	"Min_Identity"	"Mean_Identity"	"Median_Identity"	"Max_Length"	"Min_Length"	"Mean_Length"	"Median_Length"
"GCA_020389525.1_ASM2038952v1"	8	0	0	0	"MSSA"	15	986	548	"1.960.090.283"	843	0	0	0	0	99.652	49.684	"-1.070.160.213"	75.037	710	287	"-1.635.900.075"	509
"GCA_000452385.2_ASM45238v2"	8	0	0	0	"MSSA"	14	999	548	"-982.704.421"	948.5	0	0	0	0	99.652	49.842	"-1.172.816.457"	781.815	710	287	"372.597.906"	513
"GCA_014876755.1_ASM1487675v1"	8	0	0	0	"MSSA"	14	999	543	"1.296.293.303"	819.5	0	0	0	0	99.746	59.322	"-1.443.677.550"	96.898	688	285	"464"	480
"GCA_015290965.1_ASM1529096v1"	10	0	0	0	"MSSA"	14	986	548	"-1.620.738.926"	845	0	0	0	0	99.795	49.842	"106.009.746"	88.329	710	287	"-1.655.892.261"	498.5
"GCA_025559405.1_ASM2555940v1"	8	0	0	0	"MSSA"	14	986	549	"751.5"	734	0	0	0	0	99.652	49.842	"-838.774.491"	78.388	688	287	"-723.078.875"	500.5
"GCA_030445105.1_ASM3044510v1"	9	0	0	0	"MSSA"	14	981	548	"774.5"	835	0	0	0	0	99.795	54.653	"480.734.866"	779.325	688	285	"-1.190.737.627"	507
"GCA_030758875.1_ASM3075887v1"	10	0	0	0	"MSSA"	14	983	548	"765"	748	0	0	0	0	99.795	49.842	"1.722.272.037"	77.934	710	287	"496.5"	507
"GCA_030758915.1_ASM3075891v1"	12	0	0	0	"MSSA"	14	986	548	"180.583.570"	769	0	0	0	0	99.795	50	"2.040.482.231"	781.065	710	287	"127.901.403"	507
"GCA_033798745.1_ASM3379874v1"	9	0	0	0	"MSSA"	14	985	548	"1.424.901.851"	846	0	0	0	0	99.789	54.851	"79.915"	74.963	710	287	"-10.723.621"	507
"GCA_034421975.1_ASM3442197v1"	10	1	0	0	"MRSA"	14	986	548	"905.459.419"	816	0	0	0	0	99.795	49.842	"1.633.116.379"	784.015	688	287	"496.5"	507
"GCA_034422095.1_ASM3442209v1"	9	0	0	0	"MSSA"	14	984	548	"242.383.726"	845	0	0	0	0	99.795	49.842	"-1.168.275.017"	78.497	688	287	"499"	507
"GCA_000009005.1_ASM900v1"	8	0	0	0	"MSSA"	13	987	548	"-673.918.346"	853	0	0	0	0	99.795	50	"-16.658.274"	75.187	710	287	"-624.265.374"	510
"GCA_000009585.1_ASM958v1"	12	1	1	0	"MRSA"	13	986	548	"1.713.400.596"	852	0	0	0	0	99.795	49.842	"-2.092.218.919"	75.187	688	287	"531"	510
"GCA_000009645.1_ASM964v1"	15	1	1	0	"MRSA"	13	983	548	"-1.878.210.402"	853	0	0	0	0	99.795	49.842	"76.688"	74.885	710	287	"-920.022.095"	510
"GCA_000009665.1_ASM966v1"	17	0	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_000010445.1_ASM1044v1"	15	0	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_000010465.1_ASM1046v1"	9	0	0	0	"MSSA"	13	986	548	"-1.446.587.156"	855	0	0	0	0	99.795	50	"1.324.603.707"	74.885	710	287	"-920.022.095"	510
"GCA_000011265.1_ASM1126v1"	9	0	1	0	"MRSA"	13	986	548	"871.419.274"	855	0	0	0	0	99.795	50	"-977.358.533"	74.885	710	287	"-920.022.095"	510
"GCA_000011505.1_ASM1150v1"	15	1	1	0	"MRSA"	13	986	549	"144.039.306"	855	0	0	0	0	99.659	49.684	"1.888.061.125"	75.187	710	287	"-1.692.690.905"	510
"GCA_000011525.1_ASM1152v1"	10	1	0	0	"MRSA"	13	986	548	"485.084.869"	855	0	0	0	0	99.795	50	"-977.358.533"	74.885	710	287	"-920.022.095"	510
