"Total_ARGs"	"blaZ"	"mecA"	"mecC"	"Category"	"Genome"
8	"0"	"0"	0	"MSSA"	"GCA_000009005.1_ASM900v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_000009585.1_ASM958v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_000009645.1_ASM964v1"
17	"0"	"100.00"	0	"MRSA"	"GCA_000009665.1_ASM966v1"
15	"0"	"100.00"	0	"MRSA"	"GCA_000010445.1_ASM1044v1"
9	"0"	"0"	0	"MSSA"	"GCA_000010465.1_ASM1046v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_000011265.1_ASM1126v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_000011505.1_ASM1150v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_000011525.1_ASM1152v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_000012045.1_ASM1204v1"
9	"0"	"0"	0	"MSSA"	"GCA_000013425.1_ASM1342v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_000013465.1_ASM1346v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_000016805.1_ASM1680v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_000017085.1_ASM1708v1"
10	"0"	"0"	0	"MSSA"	"GCA_000024585.1_ASM2458v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_000025145.2_ASM2514v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_000027045.1_ASM2704v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_000144955.2_ASM14495v2"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_000145595.1_ASM14559v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_000159535.2_ASM15953v2"
10	"100.00"	"0"	0	"MRSA"	"GCA_000160335.2_ASM16033v2"
8	"0"	"0"	0	"MSSA"	"GCA_000189435.3_ASM18943v3"
8	"0"	"0"	0	"MSSA"	"GCA_000189455.3_ASM18945v3"
15	"99.88"	"100.00"	0	"MRSA"	"GCA_000204665.1_ASM20466v1"
9	"0"	"0"	0	"MSSA"	"GCA_000210315.1_ASM21031v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000237125.3_ASM23712v3"
10	"0"	"0"	100	"MRSA"	"GCA_000237265.1_ASM23726v1"
15	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_000239235.1_ASM23923v1"
10	"0"	"0"	0	"MSSA"	"GCA_000245495.1_ASM24549v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_000253135.1_ASM25313v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_000284535.1_ASM28453v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_000296595.1_ASM29659v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000382965.1_ASM38296v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_000382985.1_ASM38298v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000383005.1_ASM38300v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_000412775.1_ASM41277v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_000418345.1_ASM41834v1"
8	"0"	"0"	0	"MSSA"	"GCA_000452385.2_ASM45238v2"
9	"100.00"	"0"	0	"MRSA"	"GCA_000462955.1_ASM46295v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000463055.1_ASM46305v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_000470845.1_ASM47084v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_000470865.1_ASM47086v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_000485885.1_ASM48588v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_000568455.1_ASM56845v1"
9	"0"	"0"	0	"MSSA"	"GCA_000597965.1_ASM59796v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000626615.3_ASM62661v3"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_000695215.1_ASM69521v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000695875.1_ASM69587v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_000709475.1_ASM70947v1"
12	"0"	"100.00"	0	"MRSA"	"GCA_000737615.1_ASM73761v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_000746505.1_ASM74650v1"
9	"0"	"0"	0	"MSSA"	"GCA_000756205.1_ASM75620v1"
19	"99.88"	"100.00"	0	"MRSA"	"GCA_000769575.1_ASM76957v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_000772025.1_ASM77202v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815045.1_ASM81504v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815085.1_ASM81508v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815125.1_ASM81512v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815165.1_ASM81516v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815205.1_ASM81520v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_000815245.1_ASM81524v1"
17	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_000828035.1_ASM82803v1"
9	"0"	"0"	0	"MSSA"	"GCA_000953255.1_Staphylococcus_aureus_Sa_ILRI_217"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000967325.1_ASM96732v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000967345.1_ASM96734v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000967365.1_ASM96736v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000967385.1_ASM96738v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_000967405.1_ASM96740v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_000969225.1_ASM96922v1"
9	"0"	"0"	0	"MSSA"	"GCA_001018645.2_ASM101864v2"
12	"0"	"0"	0	"MSSA"	"GCA_001018655.2_ASM101865v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018685.2_ASM101868v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018725.2_ASM101872v2"
11	"100.00"	"0"	0	"MRSA"	"GCA_001018735.2_ASM101873v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018775.2_ASM101877v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018805.2_ASM101880v2"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_001018835.2_ASM101883v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018845.2_ASM101884v2"
9	"0"	"0"	0	"MSSA"	"GCA_001018915.2_ASM101891v2"
10	"100.00"	"0"	0	"MRSA"	"GCA_001018975.2_ASM101897v2"
9	"0"	"100.00"	0	"MRSA"	"GCA_001019125.2_ASM101912v2"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001019205.2_ASM101920v2"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001019255.2_ASM101925v2"
10	"0"	"0"	0	"MSSA"	"GCA_001019275.2_ASM101927v2"
14	"0"	"100.00"	0	"MRSA"	"GCA_001019305.2_ASM101930v2"
10	"0"	"100.00"	0	"MRSA"	"GCA_001019395.2_ASM101939v2"
9	"0"	"0"	0	"MSSA"	"GCA_001019415.2_ASM101941v2"
15	"0"	"100.00"	0	"MRSA"	"GCA_001019435.2_ASM101943v2"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_001019485.2_ASM101948v2"
15	"0"	"100.00"	0	"MRSA"	"GCA_001019495.2_ASM101949v2"
9	"0"	"100.00"	0	"MRSA"	"GCA_001019535.2_ASM101953v2"
11	"0"	"100.00"	0	"MRSA"	"GCA_001019575.2_ASM101957v2"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_001021875.1_ASM102187v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001021895.1_ASM102189v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001027045.1_ASM102704v1"
9	"0"	"0"	0	"MSSA"	"GCA_001027105.1_ASM102710v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_001045795.2_ASM104579v2"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_001045995.2_ASM104599v2"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_001046095.2_ASM104609v2"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001183705.3_ASM118370v3"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001183725.2_ASM118372v2"
18	"0"	"0"	0	"MSSA"	"GCA_001278745.1_ASM127874v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001281145.1_ASM128114v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_001296985.1_ASM129698v1"
16	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_001298325.2_ASM129832v2"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_001307235.1_ASM130723v1"
